Body Excerpt,Actual Subject,Base Model,Fine-tuned Model
"Read about how PGE is making methane out of manure in this issue of eBiz.

Also in this issue:
Enron's first quarter earnings overview
Online energy t...","""Take This Job and Shovel It""","in this issue of eBiz, read about how PGE is making methane out of manure. eBiz",Enron's first quarter earnings overview
"High zeros...?  Is that similar to going flatter?

D
---------------------- Forwarded by Daren J Farmer/HOU/ECT on 02/26/2001 
03:16 PM --------------...",Meters with flow and no nom,I have a meter with flow and no nom Earl - I have a meter with flow and no nom. I have a,Meters with flow and no nom
"Please see the attached memo from the CLE Committee regarding CLE credits for 
the 2000 Enron Law Conference....",2000 Enron Law Conference/CLE Credit,memo from the CLE committee regarding CLE credits for the 2000 Enron Law Conference.,CLE credits for 2000 Enron Law Conference
"Weather Trading 
Energy and weather are so inextricably tied to one another that it is sometimes hard to separate the two. The demand for power is dir...",Brief of Amsterdam Weather Conference,weather trading is so inextricably tied to one another that it is sometimes hard to separate the two. the demand for power is directly related to,Weather Trading Europe
"---------------------- Forwarded by Kay Mann/Corp/Enron on 09/25/2000 10:55 
AM ---------------------------


Reagan Rorschach
09/25/2000 09:43 AM
To:...","Rocky Mount Meeting Setp 22, 2000",Edgecombe County Complete rezoning application Current landowner needs to sign the application. $25 filing fee Plot plan and meets and bounds,"Rocky Mount Meeting Setp 22, 2000"
"Dave:
I've read the comfort letter.  With respect to item #1, the first paragraph 
is fine.  With respect to the second paragraph, what situation is h...",TXU/Eastern - ETA comfort letter,the second paragraph might negate this as written. it could be the case that our electronic records could prevail if there is a conflict between the,comfort letter
"Mike,

I am sending you a message regarding a potential candidate.


Please, take a look at him and see if he fits better our
group or Mark Tawney's g...",Recruiting for weather risk management group,Vince =20 ------------------ Forwarded by Vince J Kaminski/HOU/ECT on 04/27/2001= =20,Recruiting for weather risk management group
"Leslie:

Here is the spreadsheet through November 24th.  To date, we have stayed at the .0245 commodity floor for volumes flowing West.


 


Jan Moor...",USGT/TW West Sharing for November,"to date, we have stayed at the.0245 commodity floor for volumes flowing west. Jan Moore 713-345-3858 is",.0245 commodity floor
"Corinne:

Just checking to see if you had sent execution copies of the agreement.  I 
spoke with Mike Schneider last week to verify our acceptance of ...",futures agreement/J.P. Morgan,"Sara Shackleton Enron North America Corp. 1400 Smith Street, EB 3801a Houston, Texas 77002 713-85",futures agreement
"I agree we need to build knowledge, communications and proces here. Can you 
take lead and work with Tim O, Sheil K, Mich C, Cynthia B and Mary J?

Da...",M&A - Post-Acquisition Culture Management,"I agree we need to build knowledge, communications and proces here. can you take lead and work with Tim O, Sheil K, Mich C,",M&A - Post-Acquisition Culture Management
"Well, here is the written confirmation for the cancellation of the Positano Hotel.  Please keep for your files.  

Thanks, Kim.

-----Original Message...",Reservations for 30Sept for 4 nights,we have cancelled your reservation and are indeed sorry you are unable to be with us. we hope to have the pleasure of welcoming you to MAR,Reservations for 30Sept for 4 nights
"-----Original Message-----
From: 	Espinoza, Veronica  
Sent:	Thursday, November 08, 2001 8:40 AM
To:	Anderson, Diane; Bailey, Derek; Baumbach, David; ...",Credit Report--11/8/01,"""Original Message"": Anderson, Diane; Bailey, Derek; Baumbach, David; Bell, Jean; Bell, Jean. """,Credit Report--11/8/01
"Attached below is Dan/Andrea's draft w/ an introductory insert by yours truly 
(which might be too aggressive in places), and which incorporates comme...",Final Comments to Judge Wagner's Recommendation,Dan/Andrea's draft w/ an introductory insert by yours truly. the next round of input goes to the DC team ,Dan/Andrea Draft Draft
"Attached is a revised regulatory matrix for the Gallup Expansion reflecting 
Transwestern's request for a waiver of the 6 month requirement and a requ...",Regulatory Matrix -Gallup Expansion,a revised regulatory matrix for the Gallup Expansion is attached. Transwestern's request for a waiver of the 6 month requirement is,Gallup Expansion
"A claims bar date of September 5, 2001 has been set in the PG&E bankruptcy=
=20
case, by which date all pre-petition claims against PG&E must be filed...",CAISO Notice: Bankruptcy Claims Bar Dates,"a claims bar date of September 5, 2001 has been set in the PG&E bankruptcy= =20 case. by which date all pre-",CAISO Notice: Bankruptcy Claims Bar Dates
"In the last week, five new ideas have been posted to the Idea Vault and 
routed for review, including Enron Airline Services, the Enron Office Locator...",eThink About It: 3/19/01,five new ideas have been posted to the Idea Vault and routed for review. the new hire network has stepped up to make this idea ,New Hire Network eSpeak!
"---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 02/01/2000 
04:29 PM ---------------------------


Bjorn Hagelmann
01/28/2000 09:25 AM...",Credit Applicatiions in GRMS,GRMS stands for the GLOBAL RISK MONITORING SYSTEM. it is not intended to be a,Credit Applicatiions in GRMS
"Good Morning,  do we care about the AGA number today or is it clear enough that we are full?

Lot's of space available through Concord today from IT, ...",Capacity for the 25th,"no excess injections system wide. Excess withdrawal's and IAS gas up to 100,000 dth.",AGA number today
"Don't forget Adidas shell toes!
-- 
Angelica Paez <jhgriff@earthlink.net>
ebay - vintagegarb
From: John.Griffith@enron.com
Date: Mon, 26 Nov 2001 12:4...",Question for seller -- Item #1038949049,"Angelica Marie Paez jhgriff@earthlink.net> ebay - vintagegarb From: ""Todd Hoffman""",Question for seller -- Item #1038949049
"The following are the liquidations for the transport book that are hitting 
the texas desk(a negative is expense that is hitting - need a revenue entr...",Transport book deals 0002 & 0003,"Liq # Type Prod Month Amount N71394.1 Physical 0002 $372,649.99 0003 $401,449.98 N7854",Liq # Type Prod Month Amount
"Critical Migration Information:

1. Your scheduled Outlook Migration Date is THE EVENING OF :
2. You need to press the ""Save My Data"" button (only onc...",3 - URGENT - TO PREVENT LOSS OF INFORMATION,your scheduled Outlook Migration Date is THE EVENING OF: 2. You must be connected to the network before you press the button. if ,Your scheduled Outlook Migration Date
"General mtg for Robert having taken over the role of EWS HR Rep.

ND...",Mtg w/Robert Jones re.EA HR issues,general mtg for Robert having taken over the role of EWS HR Rep. ND.,EWS HR Rep.
"Mike,

Here is the proposal we had discussed today.  Please look it over and I will contact you early next week to discuss it further.

Thanks again
P...",San Juan/PGE proposal,"Mike, here is the proposal we had discussed today. please look it over and I will contact you early next week.",The proposal we had discussed today
"ENERGY OPERATIONS
PRESENTS
TRADER REPORTS VIEWER

Energy Operations is moving to production with the new Trader Reports Viewer (TRV) website effective...",New Trader Reports Viewer System,"Trader Reports Viewer is moving to production with the new website effective July 23, 2001. the viewer's functionality includes: Web based",Trader Reports Viewer (TRV)
Eric wants to schedule a weekly staff lunch to update team members on our weekly progress.  Please set aside every Monday to the end of the year from ...,Weekly staff working lunch meeting,please set aside every Monday to the end of the year from 11:30 to 12:30. meet us in EB 40C2 at 11:30 for,Weekly staff lunch
"Energy Central Job Center =09


[IMAGE]=09 [IMAGE] =09


      HOME  | GAS NEWS  | EVENTS  | JOBS  | BUSINESS CENTERS  | DIRECTORIES=
  | DATA CENTER ...",Daily Gas News - 1/14/02,Energy Central Job Center =09 [IMAGE]=09 [IMAGE] =09 HOME | GAS NEWS | EVENTS | JO,Energy Central Job Center
"---------------------- Forwarded by Phillip K Allen/HOU/ECT on 09/11/2000 
04:57 PM ---------------------------


""George Richards"" <cbpres@austin.rr....",Westgate Proforma-Phillip Allen.xls,the preliminary proforma for the westgate property is Austin. the project does have approved zoning and will only require a site plan ,Westgate Proforma-Phillip Allen.xls
"what is up monkey?  things are  good in houston.  i still have a gambling 
problem so i am gonna try to go to vegas if i can.  are you in california 
...",pussy pussy pussy pussy pussy pussy pussy pussy pussy pussy,i bet you have a 15 year old girlfriend huh? drinking cold beer and getting hot pussy is still what it is about ,cougars are old women that pray on young men.
"Start Date: 4/9/01; HourAhead hour: 17;  No ancillary schedules awarded.  No 
variances detected.

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\We...",Start Date: 4/9/01; HourAhead hour: 17;  <CODESITE>,LOG MESSAGES: PARSING FILE --> O:PortlandWestDeskCaliforni,Start Date: 4/9/01; HourAhead hour: 17; CODESITE>
"Gary,

In preparation for the Outlook migration, we have come up with the basic structure of the public folders needed for EWS Legal.  The initial acc...",Outlook Migration - Public Folders,the initial access to create and/or rename folders should be given to the users identified next to the group and/or subgroup.,Outlook migration
"Thanks!
----- Forwarded by Mark Taylor/HOU/ECT on 12/20/2000 11:44 AM -----

	Stephanie Panus@ENRON
	12/19/2000 04:09 PM
		 
		 To: Mark Taylor/HOU/EC...",Statoil assignment to J. Aron,the assignment has been executed by Statoil and Enron. the assignment was sent to goldman Sachs on October 2.,Statoil assignment to J. Aron
"(See attached file: HPLN1216.xls)

 - HPLN1216.xls...","HPL NOM FOR DEC. 15, 2000",- HPLN1216.xls.,HPLN1216.xl
"Here are this week's survey results.

AVG            +52
AVG w/o High & Low  +51
Median              +51
Standard Deviation   11
# of Responses       ...",BNP PARIBAS Commodity Futures AGA Survey......RESULTS!!,aVG +52 w/o High & Low +51 Median +51 Standard Deviation 11 # of Responses 55 High +92,BNP PARIBAS (and its filiales)
"Happy New Year.  We hope your holidays were enjoyable and restful.  For a pleasant start to 2002, please join your Enron colleagues for coffee and don...","Coffee & Donuts, Friday 8:00 - 9:00 a.m.","please join your colleagues for coffee and donuts this Friday, January 11, from 8:00 - 9:00 a.m.",Happy New Year
"When: Wednesday, May 16, 2001 3:00 PM-4:00 PM (GMT-06:00) Central Time (US & Canada).
Where: EB32C2

*~*~*~*~*~*~*~*~*~*...",Canceled: PolyVista Cube Data Mining Products Demo,EB32C2 *************,EB32C2
"Successfully, missed another bullet !!!  I have meetings set up with Mariel=
la=20
(the lady you like) and Dan Castingnola, who are the two highest ra...",Organizational Changes,"David will join Mark Metts = in=20 a corporate wide effort to help monetize some of Enron=01,s assets",Organizational Changes
"This is an automatically generated Delivery Status Notification.

Your message has been successfully relayed to the following recipients, but the requ...",Delivery Status Notification (Relay),this is an automatically generated Delivery Status Notification. your message has been successfully relayed to the following recipients. the requested delivery status notifications may,-----Original Message-----
"Rice/Enron Finance Seminar Series Participants:

We are getting ready to kick off the 2000/2001 Enron Finance Seminar Series
at Rice University.

You ...",RICE/ENRON FINANCE SEMINAR SERIES,we are getting ready to kick off the 2000/2001 Enron Finance Seminar Series at Rice University. here are the dates and speakers lined up so,Rice/Enron Finance Seminar Series
"Tana:

I have no idea how I missed this one -- sorry

Trafigura AG and CPN Central Fuels -- not authorized to trade US power since 
restricted by cred...",EOL / Credit / GCP Responses 5/30/00,Tana: i have no idea how I missed this one -- sorry Trafigura AG and CPN Central Fuels -- not authorized to trade US,Trafigura AG and CPN Central Fuels
"FYI.  If I've missed anyone who might be interested, please forward along.
Best,
Jeff
CALIFORNIA ENERGY MARKETS 
Friday, October 19, 2001
[1] Power Au...",CA Power Authority Faces Legislative Backlash,the new power authority is being shredded in the winds of politics this week. legislative staff are questioning the Energy Foundation's unpaid role in,Power Authority Faces Legislative Backlash
"Nancy, thank you for taking care of this.

FYI to the rest of the group.  CSC had been engaging in some discussions
with PG&E and SCE over when they e...",URGENT - ACTION REQUIRED - INTERACTIONS WITH UTILITIES,the interest from CSC's perspective was to be ready for billing changes. Nancy and I discussed the concern about CSC knowing anything about Enr,URGENT - ACTION REQUIRED - INTERACTIONS WITH UTILITIES
"Information on capacity release program (VPP) in France

Letter below to the consultants of EDF



Decision on Merger imposing capacity release




Tr...",EdF capacity auctions,"if theere is insufficient, we would suggest there is no impediment to offering the FULL remedy in a single phase.",EdF capacity auctions
"Any NDAs for referenced company?
----- Forwarded by Tana Jones/HOU/ECT on 06/04/2001 01:48 PM -----

	Daniel Diamond/ENRON@enronXgate
	06/04/2001 12:5...",Northwest Pipeline Company,Tana Jones/HOU/ECT on 06/04/2001 01:48 PM ----- Daniel Diamond/ENRON@enronXgate 06,"Stack Manager Lite, NDA for Tana,"
"Start Date: 4/15/01; HourAhead hour: 9;  No ancillary schedules awarded.  
Variances detected.
Variances detected in Energy Import/Export schedule.

 ...",Start Date: 4/15/01; HourAhead hour: 9;  <CODESITE>,Variances detected in Energy Import/Export schedule. $$$ Variance found in table tblINTCHG_IMP,Start Date: 4/15/01; HourAhead hour: 9; CODESITE>
"Good morning Toni:

The Research Group would like to bring in Jerzy Jarosz for an exploratory
interview at his convenience..

The interviewers from th...",Interview with the Research Group,the interviewers from the Research Group would be: Vince Kaminski P. V. Krishnarao Zimin Lu Paulo Issler,The Research Group would like to bring in Jerzy Jarosz
"anytime after 4:00pm would work.




Geynille Dillingham
01/03/2001 04:20 PM
To: Kimberly Brown/HOU/ECT@ECT
cc: Scott Neal/HOU/ECT@ECT 
Subject: Profe...",Professor's visit - Howard,"the latest appointment in the evening will work if it is at all possible for Scott to meet with some Howard finance professor's on January 25, 2001 ",Professor's visit - Howard
"It looks like I'm missing demand charges on the following CES Transco 
contracts for January

k#
3.3053
3.3039
3.3109
3.3085
3.3115
2.4899
2.7160
2.86...",Transco Invoices for Jan,it looks like I'm missing demand charges on the following CES Transco contracts for January k# 3.3053 3.3039 3.3109,CES Transco Contracts
"There had been some interest in this.  See me with questions...there is a 
hard copy in your mailbox....",Supplemental Entry in Caps,there had been some interest in this. See me with questions...there is a hard copy in your mailbox.,This is a hard copy in your mailbox
"Not everything in the data request responses was confidential--some of it is
public by nature.  For example, we were asked for material from the Form ...",CPCN public information,not everything in the data request responses was confidential. the public staff is the only entity which has requested the information. a problem would only arise,CPCN public information
Send his resume to Karen Buckley.  I believe there will be a full round of interviews for the trading track in May....,Analyst Ashish Mahajan,send his resume to Karen Buckley. there will be a full round of interviews.,Trade Track Interviews
"Attached are the preliminary reports ready for your review.

Jan - Since, TK is out of the office, could you please let me know what the daily rates [...",November 2001 FERC California Report - Preliminary,"TK is out of the office, but could you please let me know what the daily rates are for contract 27161 (USGT) and 2",TK is out of the office
The report named: Power West P/L <http://erv.corp.enron.com/linkFromExcel.asp?report_cd=28&report_name=Power+West+P/L&category_cd=6&category_name=WEST...,ERV Notification:  (Power West P/L - 10/24/2001),the report named Power West P/L is now available for viewing on the website. the report was published as of 10/24/2001.,Power West P/L
Thank you for your kind words about our country and our people.  The horrific nature of this brutal crime still smolders in the ashes of the World Tra...,America The Good Neighbors:,john avlon: every free and democratic country owes an incalculable debt to the US. he says,America The Good Neighbors
"I am excited to announce a major initiative called iBuyit, a new online 
purchase and payment tool.  Each of you will be able to use iBuyit to order 
...",Innovative Purchase and Payment tool coming your way!,iBuyit is a new online purchase and payment tool. each of you will be able to use it to order or approve purchases,iBuyit is a new online purchase and payment tool
"T h i s _ S O T W A R E _ will _ s  h a p e _ y o u _ I n t o _ a _ N e t _ I n v e s t i g a t i o n
Locate hidden emails, Telephone Numbers, or addr...",Investigate anyone!!!,find debtors and locate hidden assets. check criminal and driving records Look up someone's employment history. even get your FBI record.,Mirror Site 1
"PremierInvestorNetwork.com Monthly                    October 2001
                                                 Investors Edition
Copyright ? 2001...",Twelve Safer Equity Fund Bets - October Investor's Edition,the entire newsletter is best viewed in COURIER 10 for alignment =================,PremierInvestorNetwork.com Monthly Investors Edition
"For those of you from Enron House who are partaking in the conference call 
(above) tomorrow - Tuesday 12 December - a room has been booked - SE3005. ...",E-Mail Retention Policy - Conference Call,"a conference call has been scheduled for Tuesday, December 12, 2000 at 11:00 a.m. CST. the domestic dial-in number is",E-Mail Retention Policy - Conference Call
"Rod:
These are the issues  taht we need to talk about before our call on Wednesday 
afternoon.
Carol
---------------------- Forwarded by Carol St Clai...",Dresdner Bank Credit Issues,Carol ------------------ Forwarded by Carol St Clair/HOU/ECT on 05/08/2000 02:36 PM,Dresdner Bank Credit Issues
"-----Original Message-----
From: 	Postlethwaite, John  
Sent:	Tuesday, December 04, 2001 12:35 PM
To:	Allen, Phillip K.
Cc:	White, Stacey W.
Subject:	...",Mid C New deals Sept 24,new deals and option values for sept 24 Phillip. the difference in new deal value for LT - NW was due to the fact that one swap,Mid C New deals Sept 24
"Attached is the opening brief of the City of Long Beach.

 - Lbbrief.gir...",SoCalgas/SDG&E Opening Brief,the first brief of the City of Long Beach is attached to the brief.,City of Long Beach
"---------------------- Forwarded by Richard B Sanders/HOU/ECT on 04/28/2000 
12:46 PM ---------------------------


Nuria_R_Ibarra@calpx.com on 04/28/...",Letter from Pat Gillman,forwarded by Richard B Sanders/HOU/ECT on 04/28/2000 12:46 PM ------------ Nuria_R_,Letter from Pat Gillman
"April 8, 2001, 10:45PM

                           Learn the ins and outs of filing after mid-April 
deadline 

                           By GARY KLO...",Income Tax - Information,you can get a filing extension if you need more time to file your return. there is even a loophole in the law that will,April 16 is the deadline for making IRA contributions for 2000 returns
"Dear Derivatives Week subscriber: 

Catch the latest breaking news in this week's issue by clicking here: 
http://www.derivativesweek.com 

Top storie...",DW Alert: Italian Bank To Become Market Maker For Credit,a bevy of Indian asset managers are jumping into the rupee-denominated interest-rate swap market for the first time.,ITALIAN BANK TO BECOME MARKET MAKER FOR CREDIT
"fyi
---------------------- Forwarded by Kay Mann/Corp/Enron on 08/29/2000 08:43 
AM ---------------------------


Matthew F Gockerman@ECT
08/28/2000 0...",MidWest Energy Hub LLC - Name Change to Enovate Energy,fyi ------------------ Forwarded by Kay Mann/Corp/Enron on 08/29/2000 08:,MidWest Energy Hub LLC - Name Change to Enovate Energy
"Start Date: 1/28/02; HourAhead hour: 11;  No ancillary schedules awarded.  No variances detected.

    LOG MESSAGES:

PARSING FILE -->> O:\Portland\We...",Start Date: 1/28/02; HourAhead hour: 11;,LOG MESSAGES: PARSING FILE -->> O:PortlandWestDeskCaliforn,Start Date: 1/28/02; HourAhead hour: 11; CODESITE>
"I just tried out the new computer down in Jean's office and it works great - 
much faster, and things print from FERC and Lexis without kicking you ou...",Lexis Nexis/Legal and Windows 2000,"the new computer works great - much faster, and things print from FERC and Lexis without kicking you out of the computer afterwards.",Lexis Nexis/Legal and Windows 2000
"According to our system records, you have not yet logged into the Enron 
Performance Management system (PEP).   As a result your temporary password 
f...",Performance Management Process - New Password,your temporary password for the PEP system has expired. During the feedback phase you will need to access PEP at http://pep.corp,Enron Performance Management System
"Please plan to attend the local UBS HR Presentation given by Gabrielle Hagele and Chris Lue tomorrow, Thursday, 1/24/02 at 2:00 PM in the Mt. Hood Con...",UBS HR Meeting - REQUIRED,the presentation will detail UBS Benefits and UBS HR Policies. time is set aside for questions and answers.,UBS HR Presentation
"The Natural Gas Infrastructure Committee met recently in Houston to finalize
the programming of the conference.  
 
Attached to this email is the new ...",Natural Gas Infrastructure - Follow-up from Meeting,the Natural Gas Infrastructure Committee met recently in Houston to finalize the programming of the natural gas infrastructure conference. we have put together a timeline of initiatives,Natural Gas Infrastructure Committee meeting
"Credit Approval Requested:

Request submitted to CAS for Capacity Approval


Shipper :		Wasatch Energy, LLC
Contract # :		27723
Service Type :	FT
MDQ:...","Credit request Wasatch Energy, LLC","Wasatch Energy, LLC Contract # : 27723 Service Type: FT MDQ: 1,200 Dth/d (MDQ increase from",Request for Capacity Approval
"Steve,

What was the Oneok issue?  What does Ann mean by ""ETS was releasing gas to Oneok""?  

 -----Original Message-----
From: 	Harris, Steven  
Sent...",Follow Up - Amarillo Meeting,"""ETS was releasing gas to Oneok,"" says Steve. ""the field doesn't see much happening to bring customers back or to get",Follow Up - Amarillo Meeting
"Hi Steph, I don't know if this question should go to you.  If not, please 
forward it on to the right person and let me know who that is.

The reserva...",Algon Billing Issues,"the reservation volumes on the seasonal contracts do not look correct. the demand charge looks OK, its the demand volume which is not calculating correctly.",Contract Deal Comment 779233 003581
"This may have been announced while I was travelling, but I heard last Friday 
that Frank Blake has been offered, and accepted, the position of US DOE ...",Deputy Secretary of Energy,"Frank Blake has been offered, accepted, the position of US DOE Deputy Secretary. he was General Counsel of the EPA in the second Reagan","Frank Blake has been offered, and accepted as US DOE Deputy Secretary"
Are the sinking (parking and hubbing) advantages relevant in the NE model?  These are key competitive advantages of control areas in the contract path...,Enron Opening Statement,are the sinking and hubbing advantages relevant in the NE model? these are key competitive advantages of control areas in the contract path world.,Enron Opening Statement
"---------------------- Forwarded by Chris Germany/HOU/ECT on 10/16/2000 11:=
45=20
AM ---------------------------
  =20
=09Enron North America Corp.
=...",IMPORTANT MESSAGE FROM OFFICE OF THE CHAIRMAN,"Enron has changed the name of last year's ""Excellen= ce=20 Through Communication"" employee survey to The Pulse ",IPORTANT MESSAGE FROM OFFICE OF THE CHAIRMAN
"---------------------- Forwarded by Steven J Kean/NA/Enron on 04/11/2001 
07:21 AM ---------------------------
From: Michael Tribolet/ENRON@enronXgate...",Composition of unsecured creditors committee,------------------ Forwarded by Steven J Kean/NA/Enron on 04/11/2001 07:21 AM.,Composition of unsecured creditors committee
"You are currently listed as having on-line access to Intelligence Press 
information, such as Natural Gas Intelligence, NGI's Weekly Gas Price Index, ...",Do you still access data from Inteligence Press online??,you are currently listed as having on-line access to Intelligence Press information. this cost is estimated to be approximately $40 per month. ,You are currently having on-line access to Intelligence Press information
"Back by Popular Demand...

Due to an overwhelming response from the Enron Federal Credit Union sponsored 
Financial Planning Workshop in February,
we ...",Credit Union Sponsors 2nd Financial Planning Workshop,each attendee will receive a personal financial management binder. each attendee will have the opportunity to take advantage of a free financial,Enron Federal Credit Union sponsored Workshop
"All,

Attached are two (2) draft documents outlining roles and responsibilities for ECS (LLC) business going forward.  Please review and comment on th...",Draft ECS (LLC) Procedure,"all, Attached are two (2) draft documents outlining roles and responsibilities for ECS (LLC) business going forward. please review and",Draft Documents
"Rick, Jim,

	The following are the two deals that were presented at the RAC meeting last week, and should be communicated to Government Affairs:
1.
Re...",New Deals for the week of Oct. 12,region: EWS/EA/East Power Deal Name: Brooklyn Navy Yard Originator: David Marks Description: Acquisition of 50% interest in 286,Brooklyn Navy Yard Deal
"Herman and Rose,

Thank you so much for the presentation yesterday concerning 
accounting/financing issues in power development projects.  The present...",Yesterday's presentation,the presentation was extremely clear and informative. the whole group stayed interested in the presentation.,Accounting/Financing issues in power development projects
"Drew,

Dale's msg.

Vince


---------------------- Forwarded by Vince J Kaminski/HOU/ECT on 04/12/2000 
09:12 AM ---------------------------


""Dale N...",MarketPoint Business Plan Summary,"""Dale Nesbitt"" is a msg. msg. Vince's msg. Vince",MarketPoint Business Plan Summary
